                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1417,                 4.9672,                 4.2737,                0.00137,                0.40957,                0.00183,                0.00061,                 2.8023,                 4.9098,                 4.1686,             0.00036245,             0.00036245,             0.00036245
                      2,                 3.0459,                 4.4607,                 3.9221,                0.00166,                0.28579,                0.00186,                 0.0005,                  2.842,                  4.465,                 4.3969,             0.00072553,             0.00072553,             0.00072553
                      3,                 3.0147,                 4.3259,                 3.5536,                 0.0025,                0.43179,                0.00274,                0.00088,                 2.7627,                 4.4654,                 4.2205,              0.0010813,              0.0010813,              0.0010813
                      4,                 2.8156,                 4.0518,                 3.3143,                0.42189,                 0.1376,                0.01411,                0.00437,                  2.522,                 7.2071,                 3.5012,               0.001078,               0.001078,               0.001078
                      5,                 2.6915,                 3.9333,                 3.1452,                 0.8225,                0.02719,                0.02081,                0.00657,                 2.4499,                  4.398,                 3.1642,               0.001078,               0.001078,               0.001078
                      6,                 2.5707,                 3.8005,                 3.0696,                0.62956,                0.11371,                0.02958,                0.00865,                 2.4425,                 11.968,                 3.2323,               0.001067,               0.001067,               0.001067
                      7,                 2.4616,                 3.6343,                 2.9885,                0.44116,                0.10868,                0.03991,                0.01336,                 2.2379,                 5.3469,                 2.9569,               0.001056,               0.001056,               0.001056
                      8,                 2.3661,                 3.5812,                 2.9421,                 0.4887,                0.07709,                 0.0515,                0.01824,                 2.1902,                 3.4467,                 2.9214,               0.001045,               0.001045,               0.001045
                      9,                 2.3047,                 3.4865,                 2.8552,                0.30344,                  0.142,                0.09526,                0.03848,                 2.1269,                 3.1378,                 2.8294,               0.001034,               0.001034,               0.001034
                     10,                 2.2763,                 3.3925,                 2.8105,                0.33326,                0.15163,                0.08254,                0.03303,                 2.1372,                 3.4112,                 2.8029,               0.001023,               0.001023,               0.001023
                     11,                  2.202,                 3.2861,                 2.7594,                 0.4174,                0.15984,                0.11424,                0.04368,                 2.0958,                 3.2995,                 2.8266,               0.001012,               0.001012,               0.001012
                     12,                 2.1476,                 3.2137,                 2.7394,                0.33794,                0.14278,                0.09514,                0.03865,                 1.9841,                  3.165,                 2.6708,               0.001001,               0.001001,               0.001001
                     13,                 2.0866,                 3.1892,                  2.657,                0.36768,                0.22644,                0.12803,                0.05652,                 1.8967,                 3.0774,                 2.5833,             0.00099001,             0.00099001,             0.00099001
                     14,                 2.0489,                 3.0844,                 2.6113,                0.35353,                0.22075,                0.11967,                0.05237,                 1.8782,                  2.976,                 2.5419,             0.00097901,             0.00097901,             0.00097901
                     15,                 2.0202,                 3.0436,                 2.5707,                0.21205,                0.23641,                0.13986,                0.06194,                 1.8448,                 3.1067,                 2.5333,             0.00096801,             0.00096801,             0.00096801
                     16,                 1.9899,                 2.9862,                 2.5489,                0.21899,                0.24388,                0.15874,                 0.0728,                 1.8234,                 2.8157,                 2.4927,             0.00095702,             0.00095702,             0.00095702
                     17,                 1.9494,                 2.9474,                 2.5174,                0.37607,                0.25491,                0.16962,                0.07728,                 1.8079,                 2.8798,                 2.4814,             0.00094602,             0.00094602,             0.00094602
                     18,                 1.9301,                 2.8173,                 2.4493,                0.39392,                0.24671,                0.16988,                0.07854,                 1.7926,                 2.9469,                 2.3817,             0.00093502,             0.00093502,             0.00093502
                     19,                 1.8889,                  2.784,                 2.4139,                0.42203,                0.27041,                0.20338,                 0.1031,                  1.747,                 2.6574,                 2.4175,             0.00092402,             0.00092402,             0.00092402
                     20,                 1.8884,                 2.8181,                 2.4443,                 0.2188,                0.30676,                0.19104,                0.09272,                 1.8122,                 2.8543,                 2.4414,             0.00091302,             0.00091302,             0.00091302
                     21,                 1.8537,                 2.7586,                 2.3865,                0.23298,                0.25661,                0.20657,                0.10054,                 1.7309,                 2.6218,                 2.3678,             0.00090202,             0.00090202,             0.00090202
                     22,                 1.8512,                 2.6846,                 2.3779,                0.36989,                0.32704,                 0.1974,                0.09489,                 1.7815,                  2.696,                 2.3863,             0.00089102,             0.00089102,             0.00089102
                     23,                 1.8241,                  2.628,                 2.3439,                0.28339,                0.31934,                0.22799,                0.11732,                 1.7257,                 2.5242,                 2.4003,             0.00088002,             0.00088002,             0.00088002
                     24,                  1.822,                 2.6599,                 2.3344,                0.25857,                0.30299,                0.23213,                0.11803,                 1.6723,                 2.5583,                 2.3056,             0.00086902,             0.00086902,             0.00086902
                     25,                 1.7699,                 2.5659,                 2.2839,                0.29785,                 0.3692,                0.24363,                0.12146,                 1.6486,                 2.8565,                  2.278,             0.00085803,             0.00085803,             0.00085803
                     26,                 1.7661,                 2.5936,                 2.2863,                0.28673,                0.35063,                0.28524,                 0.1554,                 1.6021,                 2.3912,                 2.2065,             0.00084703,             0.00084703,             0.00084703
                     27,                 1.7649,                 2.5373,                 2.2957,                0.28473,                0.35258,                0.29497,                0.15961,                 1.6349,                 2.3821,                 2.2681,             0.00083603,             0.00083603,             0.00083603
                     28,                 1.7353,                 2.4943,                 2.2548,                0.30792,                0.31716,                0.29207,                0.15409,                 1.5938,                 2.2825,                 2.2291,             0.00082503,             0.00082503,             0.00082503
                     29,                 1.7459,                 2.4858,                 2.2756,                0.30759,                0.35862,                 0.3218,                0.17652,                 1.5545,                 2.2635,                 2.1706,             0.00081403,             0.00081403,             0.00081403
                     30,                 1.7386,                 2.4981,                 2.2546,                0.30757,                0.33473,                 0.3166,                0.17019,                 1.6316,                 2.3216,                 2.2758,             0.00080303,             0.00080303,             0.00080303
                     31,                 1.6821,                 2.4159,                 2.2151,                0.54144,                0.35381,                0.32064,                 0.1714,                 1.5634,                 2.3436,                  2.206,             0.00079203,             0.00079203,             0.00079203
                     32,                 1.6734,                 2.4128,                 2.1912,                0.53962,                0.32488,                0.33493,                0.18508,                 1.5737,                 2.3186,                 2.1605,             0.00078103,             0.00078103,             0.00078103
                     33,                 1.6699,                  2.324,                 2.2084,                0.37549,                 0.3821,                0.35748,                0.19976,                 1.5488,                 2.1483,                 2.1635,             0.00077003,             0.00077003,             0.00077003
                     34,                  1.666,                 2.3218,                 2.2042,                0.40679,                0.37415,                0.39942,                0.22922,                 1.5211,                 2.0706,                 2.1577,             0.00075904,             0.00075904,             0.00075904
                     35,                 1.6412,                 2.3077,                 2.1702,                  0.371,                0.44911,                 0.3955,                0.22607,                 1.4687,                  1.986,                 2.0726,             0.00074804,             0.00074804,             0.00074804
                     36,                 1.6317,                 2.2307,                 2.1474,                0.35151,                0.45882,                0.37166,                0.21375,                 1.5289,                   2.14,                 2.1589,             0.00073704,             0.00073704,             0.00073704
                     37,                 1.6226,                 2.2236,                 2.1292,                0.42359,                0.42223,                0.40958,                 0.2395,                 1.4717,                 1.9561,                 2.0625,             0.00072604,             0.00072604,             0.00072604
                     38,                  1.629,                 2.1972,                  2.137,                 0.3723,                0.46177,                0.41127,                0.23287,                 1.4809,                 1.9925,                 2.1286,             0.00071504,             0.00071504,             0.00071504
                     39,                 1.6179,                 2.1695,                 2.1099,                0.42461,                0.51602,                0.47915,                0.28627,                 1.4792,                 1.8499,                 2.0704,             0.00070404,             0.00070404,             0.00070404
                     40,                 1.6173,                 2.2112,                 2.1249,                0.42508,                 0.4302,                0.44011,                0.25836,                 1.4379,                  1.992,                 2.0615,             0.00069304,             0.00069304,             0.00069304
                     41,                  1.571,                 2.1487,                 2.0878,                0.40716,                0.49331,                0.45365,                0.27105,                 1.4451,                 1.9122,                 2.0123,             0.00068204,             0.00068204,             0.00068204
                     42,                  1.591,                 2.2056,                 2.1073,                0.45421,                0.49888,                0.48428,                0.27399,                 1.4327,                 1.8108,                 2.0638,             0.00067104,             0.00067104,             0.00067104
                     43,                 1.6043,                 2.2048,                 2.1403,                0.41548,                0.47586,                0.45872,                0.26789,                 1.4483,                 1.9834,                 2.0397,             0.00066005,             0.00066005,             0.00066005
                     44,                 1.5754,                 2.1223,                 2.0908,                0.49627,                0.50075,                0.50564,                0.29736,                 1.4348,                 1.8025,                 2.0415,             0.00064905,             0.00064905,             0.00064905
                     45,                 1.5664,                 2.0685,                 2.0834,                0.46236,                0.51872,                0.49579,                0.30091,                 1.4027,                 1.8542,                 2.0122,             0.00063805,             0.00063805,             0.00063805
                     46,                 1.5316,                 2.0715,                  2.019,                0.46139,                0.52708,                0.52309,                0.31264,                 1.3877,                 1.7572,                  1.956,             0.00062705,             0.00062705,             0.00062705
                     47,                 1.5489,                 2.0126,                 2.0662,                 0.4621,                0.49409,                0.50229,                0.30321,                 1.3858,                 1.8203,                 1.9828,             0.00061605,             0.00061605,             0.00061605
                     48,                 1.5645,                  2.055,                 2.0863,                0.47721,                0.47699,                0.47667,                 0.2863,                 1.4388,                 1.8984,                 2.0195,             0.00060505,             0.00060505,             0.00060505
                     49,                 1.5396,                 2.0418,                 2.0609,                0.50147,                0.54616,                0.54458,                0.32972,                 1.3752,                 1.7112,                 1.9512,             0.00059405,             0.00059405,             0.00059405
                     50,                 1.5093,                 1.9694,                 2.0312,                0.47886,                0.51751,                0.51415,                0.31191,                 1.3756,                 1.7327,                 1.9656,             0.00058305,             0.00058305,             0.00058305
                     51,                 1.5186,                 1.9268,                 2.0379,                 0.5266,                0.58093,                0.59076,                0.36696,                 1.2955,                 1.6371,                 1.9016,             0.00057205,             0.00057205,             0.00057205
                     52,                 1.4714,                 2.0082,                 2.0079,                0.59472,                0.55095,                0.60864,                0.37562,                 1.3665,                 1.5449,                 1.9321,             0.00056105,             0.00056105,             0.00056105
                     53,                 1.4977,                 1.9293,                 1.9946,                0.52366,                0.57841,                0.57199,                0.36511,                 1.3085,                 1.5945,                 1.8977,             0.00055006,             0.00055006,             0.00055006
                     54,                 1.5256,                 1.9369,                 2.0295,                0.57171,                0.59753,                0.62397,                0.38888,                 1.2964,                 1.6458,                 1.8913,             0.00053906,             0.00053906,             0.00053906
                     55,                 1.4659,                 1.8855,                 1.9804,                0.51209,                0.52081,                0.53992,                0.33556,                 1.3698,                 1.6887,                 1.9542,             0.00052806,             0.00052806,             0.00052806
                     56,                 1.4638,                 1.8954,                 1.9789,                0.55517,                 0.6024,                0.62049,                 0.3963,                 1.3124,                  1.503,                 1.8759,             0.00051706,             0.00051706,             0.00051706
                     57,                 1.4804,                 1.8726,                 1.9913,                0.42594,                 0.5038,                0.54952,                0.34291,                 1.3223,                 1.7141,                 1.8833,             0.00050606,             0.00050606,             0.00050606
